137570312,-2.72707e-005,1.18383e-005,-8.25775e-005
138400000,-2.91549e-005,1.39083e-005,-8.85235e-005
138582812,-2.94408e-005,1.42472e-005,-8.94836e-005
138765625,-2.95027e-005,1.43215e-005,-8.96936e-005
139975000,-2.95642e-005,1.43957e-005,-8.99032e-005
140181250,-2.99698e-005,1.48863e-005,-9.12879e-005
142817187,-3.00371e-005,1.49693e-005,-9.15215e-005
147396875,-3.08923e-005,1.60296e-005,-9.45012e-005
148204687,-3.22847e-005,1.78426e-005,-9.95543e-005
148393750,-3.25521e-005,1.81922e-005,-0.000100455
148576562,-3.26156e-005,1.82752e-005,-0.000100666
149760937,-3.26772e-005,1.83558e-005,-0.00010087
149967187,-3.30776e-005,1.88796e-005,-0.000102194
152803125,-3.31488e-005,1.89728e-005,-0.000102425
157409375,-3.41308e-005,2.02588e-005,-0.000105604
158215625,-3.58023e-005,2.24529e-005,-0.000110801
158403125,-3.61567e-005,2.28084e-005,-0.000111724
158585937,-3.62416e-005,2.28899e-005,-0.00011194
159785937,-3.6325e-005,2.29691e-005,-0.00011215
159990625,-3.68759e-005,2.34873e-005,-0.00011353
162651562,-3.6974e-005,2.35738e-005,-0.000113766
167571875,-3.82577e-005,2.46942e-005,-0.00011684
168398437,-4.08491e-005,2.66657e-005,-0.000122574
168579687,-4.13079e-005,2.70301e-005,-0.000123548
168762500,-4.14094e-005,2.71112e-005,-0.000123761
169946875,-4.1512e-005,2.71933e-005,-0.000123977
170153125,-4.21777e-005,2.77269e-005,-0.000125375
172660937,-4.2295e-005,2.78219e-005,-0.000125619
177400000,-4.37247e-005,2.89803e-005,-0.000128588
178221875,-4.64948e-005,3.12665e-005,-0.000134228
178410937,-4.69373e-005,3.16523e-005,-0.000135203
178593750,-4.70376e-005,3.17406e-005,-0.000135427
179800000,-4.71342e-005,3.18259e-005,-0.000135644
180121875,-4.77696e-005,3.23882e-005,-0.000137073
182835937,-4.79354e-005,3.25372e-005,-0.000137454
187403125,-4.93245e-005,3.37909e-005,-0.000140667
188215625,-5.15413e-005,3.58666e-005,-0.000146062
188403125,-5.18932e-005,3.62242e-005,-0.000147054
188587500,-5.19727e-005,3.63063e-005,-0.000147284
189756250,-5.20504e-005,3.63869e-005,-0.00014751
189962500,-5.25407e-005,3.6897e-005,-0.000148948
192815625,-5.26245e-005,3.69863e-005,-0.000149204
197412500,-5.37766e-005,3.82194e-005,-0.000152748
198223437,-5.54827e-005,4.01655e-005,-0.000158571
198412500,-5.58164e-005,4.04602e-005,-0.000159606
198595312,-5.58955e-005,4.0527e-005,-0.000159847
199790625,-5.59723e-005,4.0591e-005,-0.000160081
199996875,-5.64766e-005,4.10071e-005,-0.000161609
202631250,-5.65657e-005,4.10757e-005,-0.000161874
207553125,-5.77093e-005,4.19446e-005,-0.00016525
208379687,-5.99596e-005,4.33991e-005,-0.000171586
208562500,-6.03755e-005,4.36428e-005,-0.000172701
208745312,-6.04689e-005,4.36966e-005,-0.00017295
209926562,-6.05626e-005,4.37505e-005,-0.000173199
210132812,-6.11701e-005,4.40985e-005,-0.00017481
212642187,-6.12785e-005,4.41592e-005,-0.000175094
217406250,-6.26016e-005,4.48978e-005,-0.00017856
218217187,-6.52258e-005,4.62982e-005,-0.000185291
218406250,-6.5695e-005,4.6568e-005,-0.000186446
218589062,-6.58053e-005,4.66322e-005,-0.000186715
219990625,-6.59121e-005,4.66945e-005,-0.000186976
220195312,-6.67327e-005,4.71742e-005,-0.000188977
222835937,-6.68542e-005,4.72466e-005,-0.00018927
227414062,-6.84252e-005,4.8185e-005,-0.00019305
228229687,-7.12198e-005,4.99101e-005,-0.000199633
228418750,-7.17174e-005,5.02289e-005,-0.000200773
228601562,-7.18327e-005,5.03033e-005,-0.000201037
229764062,-7.19442e-005,5.03753e-005,-0.000201291
229970312,-7.26533e-005,5.0834e-005,-0.000202905
232635937,-7.27791e-005,5.09161e-005,-0.000203189
237554687,-7.44049e-005,5.19791e-005,-0.000206859
238175000,-7.74041e-005,5.3981e-005,-0.000213517
238556250,-7.77535e-005,5.42251e-005,-0.000214354
238739062,-7.7966e-005,5.43745e-005,-0.000214869
239948437,-7.80672e-005,5.4446e-005,-0.000215115
240153125,-7.87348e-005,5.49181e-005,-0.000216746
242648437,-7.88455e-005,5.49973e-005,-0.000217022
247407812,-8.01896e-005,5.59619e-005,-0.000220384
248218750,-8.26417e-005,5.77692e-005,-0.000226787
248406250,-8.30465e-005,5.80858e-005,-0.000227917
248589062,-8.31396e-005,5.81593e-005,-0.00022818
249759375,-8.32302e-005,5.82311e-005,-0.000228437
249964062,-8.38097e-005,5.86911e-005,-0.000230083
252820312,-8.39103e-005,5.87721e-005,-0.000230373
257417187,-8.53115e-005,5.99034e-005,-0.000234429
258228125,-8.75222e-005,6.17535e-005,-0.000241092
258415625,-8.7877e-005,6.20697e-005,-0.000242265
258715625,-8.79575e-005,6.21423e-005,-0.000242535
259990625,-8.8086e-005,6.22585e-005,-0.000242969
260196875,-8.86281e-005,6.27509e-005,-0.000244811
262837500,-8.87133e-005,6.28299e-005,-0.000245108
267398437,-8.97989e-005,6.38392e-005,-0.000248919
268214062,-9.15593e-005,6.55491e-005,-0.000255491
268401562,-9.18958e-005,6.58849e-005,-0.000256676
268585937,-9.1974e-005,6.59633e-005,-0.000256949
269757812,-9.20512e-005,6.60407e-005,-0.000257217
269962500,-9.25427e-005,6.65343e-005,-0.000258922
272646875,-9.263e-005,6.66225e-005,-0.000259221
277568750,-9.37774e-005,6.77829e-005,-0.000263136
278393750,-9.59583e-005,7.00163e-005,-0.000270347
278575000,-9.63384e-005,7.03689e-005,-0.000271562
278757812,-9.64225e-005,7.04456e-005,-0.000271829
279967187,-9.65074e-005,7.05228e-005,-0.000272099
280171875,-9.70698e-005,7.1032e-005,-0.000273881
282667187,-9.71659e-005,7.11169e-005,-0.000274183
287396875,-9.83391e-005,7.21486e-005,-0.000277867
288217187,-0.000100606,7.40408e-005,-0.000284866
288393750,-0.000100964,7.44077e-005,-0.000286117
288656250,-0.00010104,7.44881e-005,-0.000286388
289825000,-0.000101152,7.46081e-005,-0.000286791
290031250,-0.000101649,7.51455e-005,-0.000288587
292801562,-0.000101735,7.52428e-005,-0.000288907
297407812,-0.000102879,7.65547e-005,-0.000293201
298375000,-0.000104666,7.88636e-005,-0.000300464
298593750,-0.00010506,7.93822e-005,-0.000302042
298776562,-0.00010515,7.95011e-005,-0.000302401
299964062,-0.000105226,7.96008e-005,-0.000302702
300170312,-0.000105716,8.02498e-005,-0.000304659
302648437,-0.000105802,8.03644e-005,-0.000305002
307571875,-0.000106841,8.17451e-005,-0.000309126
308396875,-0.000108954,8.45816e-005,-0.000317465
308579687,-0.000109316,8.50343e-005,-0.000318907
308762500,-0.000109397,8.51338e-005,-0.000319228
309931250,-0.000109477,8.52331e-005,-0.000319549
310137500,-0.000109993,8.58669e-005,-0.000321607
312660937,-0.000110084,8.59774e-005,-0.000321972
317390625,-0.000111204,8.73267e-005,-0.000326452
318206250,-0.000113325,8.97901e-005,-0.000334979
318395312,-0.000113735,9.02163e-005,-0.000336461
318578125,-0.000113831,9.03152e-005,-0.000336805
319781250,-0.000113925,9.04108e-005,-0.000337138
319987500,-0.000114545,9.104e-005,-0.00033933
322804687,-0.000114654,9.11479e-005,-0.000339706
327403125,-0.000116151,9.26227e-005,-0.00034485
328218750,-0.000118741,9.5034e-005,-0.000353286
328406250,-0.000119214,9.54421e-005,-0.000354788
328590625,-0.000119324,9.55351e-005,-0.000355134
329768750,-0.000119431,9.56264e-005,-0.000355473
329975000,-0.00012012,9.62086e-005,-0.000357645
332815625,-0.000120241,9.63092e-005,-0.000358025
337412500,-0.000121915,9.76922e-005,-0.000363267
338223437,-0.000124673,9.98612e-005,-0.000371769
338412500,-0.000125151,0.000100205,-0.000373233
338595312,-0.000125262,0.000100284,-0.000373573
339785937,-0.000125369,0.00010036,-0.000373901
339990625,-0.000126068,0.000100851,-0.000376037
342662500,-0.000126187,0.000100932,-0.000376402
347551562,-0.000127746,0.000101995,-0.000381159
348378125,-0.000130569,0.000103805,-0.000389739
348560937,-0.000131085,0.00010411,-0.00039124
348745312,-0.0001312,0.000104177,-0.000391574
349923437,-0.000131317,0.000104245,-0.000391912
350129687,-0.000132066,0.000104679,-0.000394069
352642187,-0.0001322,0.000104755,-0.00039445
357404687,-0.00013383,0.00010568,-0.000399094
358220312,-0.000137036,0.000107429,-0.000408048
358407812,-0.000137594,0.000107757,-0.000409664
358590625,-0.000137723,0.000107834,-0.000410039
359782812,-0.000137849,0.000107909,-0.000410405
359989062,-0.000138668,0.000108398,-0.000412798
362818750,-0.00013881,0.000108485,-0.000413217
367414062,-0.000140765,0.000109676,-0.00041898
368229687,-0.000143971,0.000111705,-0.000428615
368417187,-0.000144553,0.000112045,-0.000430331
368600000,-0.000144687,0.000112122,-0.000430726
369784375,-0.000144818,0.000112198,-0.00043111
369990625,-0.000145668,0.000112685,-0.000433604
372662500,-0.000145817,0.000112768,-0.000434038
377553125,-0.000147747,0.000113847,-0.000439669
378385937,-0.000151326,0.000115752,-0.000449994
378568750,-0.000151959,0.000116109,-0.000451762
378751562,-0.000152099,0.000116189,-0.000452151
379960937,-0.000152239,0.000116269,-0.000452539
380167187,-0.000153167,0.000116799,-0.00045511
382643750,-0.000153326,0.000116891,-0.00045555
387565625,-0.000155246,0.000118005,-0.000460824
